chi,dp,coh,stab,rad,size,ratio
0.055556,1297.59353,1.5,12.857172,1.2,10,0.5
0.058824,440.81648799999994,1.5,13.787193,1.2,10,0.5
0.058824,542.19741,1.5,9.620486,1.2,10,0.5
0.058824,542.19741,1.5,9.620486,1.2,10,0.5
0.025641,2709.632431,1.5,19.597008,1.2,10,0.5
0.05,28.302568000000065,1.5,9.626701,1.2,10,0.5
0.066667,0.37808300000000017,1.5,0.677083,1.2,10,0.5
0.066667,0.6512640000000012,1.5,0.677083,1.2,10,0.5
0.25,0.5566400000000002,1.5,0.75,1.2,10,0.5
0.1,2.0929070000000003,1.5,0.53125,1.2,10,0.5
0.066667,1.9874599999999987,1.5,3.142885,1.2,10,0.5
0.066667,2.5507050000000007,1.5,3.142885,1.2,10,0.5
0.142857,4.179387,1.5,2.232411,1.2,10,0.5
0.2,6.047909000000001,1.5,3.801523,1.2,10,0.5
0.166667,12.132925,1.5,5.145767,1.2,10,0.5
0.2,8.825916,1.5,6.115941,1.2,10,0.5
0.2,17.805473,1.5,6.115941,1.2,10,0.5
0.090909,52.726706,1.5,4.501592,1.2,10,0.5
0.25,4.646326,1.5,0.0,1.2,10,0.5
0.052632,692.651013,1.5,7.820354,1.2,10,0.5
0.052632,724.9808959999999,1.5,7.820354,1.2,10,0.5
0.090909,1651.656032,1.5,11.009039,1.2,10,0.5
0.090909,1588.572819,1.5,11.009039,1.2,10,0.5
0.029412,48353.323338,1.5,11.986933,1.2,10,0.5
0.029412,48304.112411,1.5,11.986933,1.2,10,0.5
0.029412,48334.806697,1.5,11.986933,1.2,10,0.5
0.029412,48285.59577,1.5,11.986933,1.2,10,0.5
0.2,444.2244099999999,1.5,12.035288,1.2,10,0.5
0.2,507.307624,1.5,12.035288,1.2,10,0.5
0.052632,615.379787,1.5,17.211239,1.2,10,0.5
0.052632,615.379787,1.5,17.211239,1.2,10,0.5
0.111111,7827.6821070000005,1.5,12.647866,1.2,10,0.5
0.111111,7827.6821070000005,1.5,12.647866,1.2,10,0.5
0.066667,1290.279884,1.5,11.143829,1.2,10,0.5
0.090909,732.1981069999999,1.5,21.238235,1.2,10,0.5
0.047619,732.1981069999999,1.5,20.747807,1.2,10,0.5
